Date,AAL_Close,AAL_Vol,AAPL_Close,AAPL_Vol,ALK_Close,ALK_Vol,AMZN_Close,AMZN_Vol,BHC_Close,BHC_Vol,CS_Close,CS_Vol,DB_Close,DB_Vol,GOOG_Close,GOOG_Vol,GS_Close,GS_Vol,HA_Close,HA_Vol,JNJ_Close,JNJ_Vol,MRK_Close,MRK_Vol,SP500_Close,SP500_Vol
1/10/2010,8.758067,3603800,8.719163,448142800,10.972344,1663600,153.710007,8683400,24.757708,5778700,30.167257,1814900,44.981487,2010600,261.828613,4466600,127.147858,7439800,5.742526,645400,45.970119,9773200,26.052284,11741900,1146.23999,4298910000
4/10/2010,8.597802,3856800,8.599421,435302000,10.703489,1512400,155.389999,5346500,24.873083,4187200,29.943998,1085600,44.263348,1245600,260.199707,3895400,126.175117,5866700,5.540189,618900,45.910553,8703600,25.995331,9234900,1137.030029,3604110000
5/10/2010,8.701504,3896600,8.917298,501967200,10.767396,2567200,160.869995,5620000,25.286512,4610300,30.830046,1025300,46.140301,2270900,268.110046,7040400,128.757706,8724700,5.636539,534800,46.751797,12439400,26.351234,10669200,1160.75,4068840000
6/10/2010,8.701504,3230200,8.925013,670868800,10.743157,1043600,155.399994,6060800,25.661484,4448900,31.032362,871300,46.703384,1887400,266.177307,5545200,129.850906,6330600,5.752162,2563900,47.057022,11339800,26.34413,7541300,1159.969971,4073160000
7/10/2010,8.71093,3877700,8.925941,408399600,10.247319,7682400,156.270004,4622000,25.574951,2453900,31.19981,1377000,46.213741,1191000,264.015411,4809400,130.083435,4471500,5.925593,1115200,47.06448,9826600,26.130579,13897800,1158.060059,3910550000
8/10/2010,8.550665,4455700,9.075621,658403200,10.619747,3212400,155.550003,6918400,25.805704,1825800,30.711445,1342300,46.075012,881900,267.173553,5739800,131.417725,5225100,5.925593,913000,47.071911,7354800,26.272934,8680800,1165.150024,3871420000
11/10/2010,8.484673,2231500,9.115436,427753200,10.361914,1256800,153.029999,4486400,26.113371,1750200,30.969576,866300,45.830193,793800,268.41391,5272200,131.021729,4454400,5.887052,532200,47.124023,6172100,26.23735,5576200,1165.319946,2505900000
12/10/2010,9.003184,10884900,9.213575,558544000,10.428024,1434000,156.479996,5280800,26.805626,2228700,31.067253,603700,45.618019,1404600,269.684143,7535300,133.612915,6378000,6.118296,1114000,47.116585,8707400,26.080757,11040400,1169.77002,4076170000
13-10-2010,9.238865,7754800,9.262955,630092400,10.476505,1598400,155.169998,5632800,26.786398,3289900,31.395151,1189400,47.095093,1400300,270.63559,6134000,133.199677,5626200,6.156836,689700,47.332462,10104700,26.450895,9762300,1178.099976,4969410000
14-10-2010,9.22001,3760500,9.329926,435296400,10.441245,1549200,155.529999,4024100,26.238363,4066900,31.116085,1546300,46.915558,2583400,269.455017,13317800,130.496597,6891100,6.089391,507100,47.451584,8632700,26.443783,9544400,1173.810059,4969410000
15-10-2010,9.144594,3410500,9.71354,922194000,10.390559,1681200,164.639999,10135500,25.680712,2536500,30.585861,1513800,46.246387,1485200,299.60202,29760600,129.721832,6901500,6.185742,569900,47.325027,13265100,26.301414,15025400,1176.189941,5724910000
18-10-2010,9.540545,6040200,9.814152,1093010800,10.487522,1102800,163.559998,6331300,25.565336,2945000,31.450972,950300,47.658173,1226900,307.70166,14249500,132.312943,6972300,6.185742,516200,47.54092,10814100,26.500723,10601100,1184.709961,4450050000
19-10-2010,9.512263,8197200,9.551516,1232784000,10.242908,1471600,158.669998,7525000,25.228825,2224900,31.01144,1474500,46.972683,1677200,302.780121,9210100,134.912766,14491200,5.993039,723400,47.116585,17235400,25.995331,10372100,1165.900024,5600120000
20-10-2010,10.219318,19890000,9.583611,721624400,10.888599,2051600,158.669998,5790400,25.536493,2063800,31.409115,1133100,48.196777,1269000,302.854828,7076500,137.392029,10631200,6.869834,2148600,47.347347,10206800,26.329884,9669300,1178.170044,5027880000
21-10-2010,10.134469,9956400,9.552444,551460000,10.857749,2862400,164.970001,13482500,25.469191,3411600,29.741674,2592900,47.609211,1040700,304.852325,5862800,137.133789,6350900,6.89874,944800,47.637699,11111700,26.408186,10373000,1180.26001,4625470000
22-10-2010,10.191037,3485500,9.489175,372778000,11.093547,1654800,169.130005,16318400,25.286512,1352600,29.302149,2050900,47.894836,858400,305.121338,4529100,135.80809,4051700,7.062536,648500,47.503696,6774800,26.408186,6330600,1183.079956,3177890000
25-10-2010,10.916947,12724300,9.531454,392462000,11.201532,1340800,169,6530900,25.555721,1612000,29.016096,1780900,47.42968,680400,307.098907,6340400,135.489563,5728300,7.207063,819900,47.630257,7794700,26.635962,10656000,1185.619995,4221380000
26-10-2010,11.058357,9933800,9.507076,392929600,11.309514,1245600,169.949997,4689600,25.767244,1598200,28.904472,1419300,46.882915,1662300,308.144989,5044600,136.264328,4068500,7.37086,672800,47.526031,7122900,26.386837,7103400,1185.640015,4203680000
27-10-2010,11.312896,6854000,9.500285,399002800,11.518866,1369200,167.509995,5721800,26.04607,2618700,29.099825,1313300,46.95636,1163100,307.083984,4500500,137.865494,6570900,7.235969,452000,47.325027,11916100,25.952625,12119400,1182.449951,4335670000
28-10-2010,11.199768,6836500,9.42035,551051200,11.637868,1390400,166.839996,4684400,26.017225,1810600,29.406792,1475500,47.266464,675500,308.13504,4384900,140.525528,9918800,7.33232,550300,47.317581,10116000,26.294292,9870300,1183.780029,4283460000
29-10-2010,11.114922,5499700,9.288879,430511200,11.635662,912800,165.229996,4998500,26.546032,4278000,28.953312,1111300,47.233829,585600,305.704132,4573600,138.709152,4536600,7.052901,691600,47.451584,9309900,25.845858,15230600,1183.26001,3537880000
1/11/2010,10.992366,4875500,9.387636,423889200,11.556328,1336800,162.580002,5239900,26.488342,1787800,28.555641,948600,46.262703,1073600,306.351715,6197200,139.087875,4514400,7.033632,511200,47.41436,9356000,25.803137,9667500,1184.380005,4129180000
2/11/2010,11.237479,3393600,9.547504,433930000,11.734831,1144000,164.610001,4260000,26.603718,1419300,29.406792,770100,47.111408,525300,306.650604,4010000,140.164032,3332400,7.091441,490100,47.555817,8632100,26.059395,9983600,1193.569946,3866200000
3/11/2010,11.378889,5059800,9.653669,508348400,11.908926,1069600,168.470001,6112100,27.170982,4628700,29.448656,948100,47.078773,958000,308.932037,6786200,140.000443,4462800,7.158887,534200,47.786587,9322100,25.988214,9510200,1197.959961,4665480000
4/11/2010,10.898091,10437800,9.822487,642488000,12.175576,1852000,168.929993,7395900,26.132601,12051100,30.537024,1283600,48.474247,1335800,310.969421,7168300,143.237228,8162600,7.023996,790800,48.210922,11337400,26.08787,11861100,1221.060059,5695470000
